NOx	Pb	O3	CO	longitude	CH4	TEMP	PAHs	warning	SO2	NH3	CFCs	C2H3NO5	PM2.5	PRES	PM10	H2CO	latitude
8.04782	47.12469	8.76415	7.49274	-99.73314	6.73998	1.63266	5.86919	1.00000	6.23002	9.70879	70.63671	15.37270	6.42138	1071.85522	9.37671	39.49984	32.44874
7.33412	64.59238	8.51638	2.77033	-73.0515	7.07552		8.69990	1.00000	4.91017	9.58141	68.66336	7.45862	11.20234	1103.19412	8.50262	48.02844	41.55815
5.44179	56.17572	6.62440	8.03167	-0.76773	8.34653	10.31549	7.28479	1.00000	7.86367	6.27951	65.99401	3.41141	3.35132	1059.63890	7.03511	41.69649	38.38479
8.68658	55.24425	9.21185	7.82031	71.57118	8.57756	4.57698	5.58958	1.00000	9.86626	7.83858	64.22001	3.31449	6.21464	1182.54083	7.12543	60.60309	32.87533
6.01911	34.91576	6.34221	8.88487	106.85417	7.66495	-14.69558	7.51956	1.00000	5.97400	4.67335	77.38795	6.27613	5.12006	1167.49641	8.19779	41.11655	-6.48167
6.26696	43.17498	6.12421	9.06417	10.18003	6.40768	24.36353	10.49443	1.00000	7.12411	6.30817	66.33516	3.54124	6.21387	1140.02867	7.08954		24.96334
5.95030	65.55109	5.87413	5.28694	2.12213	8.65240	-9.60982	9.74171	0.00000	7.50016	8.54479	67.17614	1.86597	8.74405	1164.99651	6.53853	43.87111	48.8222
4.51372	34.21041	6.41216	8.39202	-51.87389	6.51763	3.33919	8.08861	1.00000	8.58937	5.96575	79.82369	3.89387	4.67093	1129.17994	7.27151	67.50613	-23.44361
6.91723	63.69430	10.64543	7.03665	130.57211	8.32881	7.35866	7.13786	0.00000	9.37188	7.21235	84.72228	3.85983	3.95976	1065.72857	7.35624	49.14926	45.75279
5.64584		7.52303	8.62749	-73.75335	5.83055	11.74790	9.84842	1.00000	7.25591	4.68966	60.99672	3.08123	6.79611	1078.48297	7.21276	32.57001	45.4473
4.17671	43.42828	6.65740	7.38019	-3.59625	6.89058	0.44758	9.14918	0.00000	8.45456	6.67205	61.98368	3.38723	7.79081	1147.06013	7.79861	32.63325	5.27247
9.60895	77.52461	8.42186	5.45142	-2.01111	7.08282	16.24128	7.87947	1.00000	6.24916	7.93187	64.22660	2.37100	7.28315	1090.31472	6.50201	41.16612	52.66277
6.77803	63.64025	4.60067		-156.47432	7.08058	14.16701	9.66606	1.00000	7.01887	8.16344	71.70683	5.32296	6.15685	1198.26468	8.02973	19.84855	20.88953
4.50125	53.81720	6.66487	8.41125	-2.12139	5.78825	-3.09046	9.06048	1.00000	9.63828	6.03733	54.32375	28.41973	6.29876	1124.56613	10.00337	34.75292	52.48173
7.15606	52.88719	6.32231	9.08000	140.72287	7.10025	0.84744	8.60716	1.00000	8.91773	6.27148	70.51490	7.19265	3.77992	1071.32685	8.52495	35.34542	53.14657
7.08567	37.76176	5.87248	9.04055	77.9129	5.00251	14.61522	9.29942	1.00000	6.76667	7.04083	73.40049	3.93519	5.55308	1116.08855	6.70294	35.32260	25.6439
4.16456	51.85778	6.20365	6.15372	5.22778	8.38018	-0.42643	6.53345	0.00000	7.52339	9.43110	64.42757	2.88393	6.59608	1156.51169	6.70808	42.88591	51.955
9.47346	49.14229	8.52202	5.33642	103.61667	7.66125	12.23213	7.13815	1.00000	6.89757	9.63307	67.63865	3.37568	8.30425	1148.66880	6.83057	56.68587	-1.6
3.84420	24.48557	5.97095	5.69835	-88.81395	6.24602	-1.58662	5.94502	0.00000	7.97030	9.06791	52.75730	5.58269	7.13340	1175.81288	8.03057	49.72429	35.61452
7.75529	50.15374	7.06149	3.43610	105.75635	6.76525	14.06196	8.58523	1.00000	8.33699	11.30355	72.87229	2.80207	11.03357	1164.60355	6.39488	79.19859	10.29085
7.09815	33.05900	8.81341	4.20211	-86.78777	8.02906	11.67169	6.55598	0.00000	8.56917	5.29919	76.26801	5.23930	6.72296	1174.72665	7.65827	67.72820	33.44872
7.45250	39.38634	12.17141	7.49795	-71.8023	8.62530	24.47257	5.58244	0.00000	6.59144	7.37111	66.33242	0.98740	3.65046	1107.64740	5.94868	55.17996	42.58342
7.07349	48.71933	8.44572	5.54365	-42.98194	9.04981	20.13815	6.79406	0.00000	7.54500	5.05169	69.66057	1.27326	5.83167	1177.99199	7.06834	57.40816	-22.53722
4.20959	70.00400	10.40346	5.56730	73.97117	8.69955	14.74705	3.91423	0.00000	5.99618	6.69181	74.01843	3.70809	9.23678	1117.41490	7.55200	60.85282	31.96258
5.32625	35.57746	8.94538	5.06317	-73.47429	7.93708	13.83117	7.07993	0.00000	7.34454	4.35235	75.84443	4.53237	5.62430	1195.94713	7.70527	94.08012	40.68066
4.92297	67.50019	8.40422	6.88489	127.08472	6.48785	-4.36937	5.69310	0.00000	7.94699	6.14131	64.08059	3.79016	6.77694	1113.11019	7.28388	29.69854	36.20389
6.97821	54.73838	8.55619	6.84855	46.83187	11.17362	31.15398	5.97398	1.00000	6.41008	10.86543	73.21507	6.36041	7.67621	1084.28857	7.98361	24.81235	14.53767
9.49126	78.76898	9.15298	4.33291	-48.59278	6.11626	12.02723	8.71760	1.00000	6.65259	8.96535	61.00799	18.91147	6.78920	1187.01752	9.51363	65.46478	-23.7975
10.06411	45.96188	10.26958	6.09624	115.8614	8.94457	10.83953	5.72988	1.00000	8.74512	7.78218	72.45614	3.74564	7.91172	1161.02370	7.56216	42.46262	-31.95224
6.17381	55.27735	7.39186	8.23763	-82.07842	7.09286	4.41428	10.99960	1.00000	5.61997	6.13983	67.04768	8.66354	5.53812	1198.58769	8.60237	63.14321	26.91756
8.01500	72.20112	8.38969	6.01238	88.28637	7.43929	9.75329	7.49887	1.00000	6.96900	8.54902	58.62470	3.28216	7.15306	1099.47417	7.17595	58.15577	23.07492
5.88029	43.25808	8.42285	5.54795	79.87116	7.77540	12.82970	5.16206	0.00000	6.69422	9.57125	72.48240	2.50113	5.03562	1080.54613	6.20466	43.55988	6.84019
11.41928	51.91346	9.77131	5.08771	-71.06616	7.28668	21.52567	7.30069	1.00000	7.72261	5.46481	59.18294	3.03868	7.94081	1156.95183	6.13605	69.70546	42.4251
6.74041	63.23077	7.25260	5.05312	-35.03333	8.90754	10.63986	4.50399	0.00000	8.59615	6.04056	60.51349	2.98033	6.58459	1189.78251	6.73170	39.49071	-8.28333
3.60626	27.75268	8.36718	7.10584	-1.99421	7.09197	-2.07017	6.73694	0.00000	5.95167	5.35119	74.93184	9.33615	7.98294	1188.34372	8.65571	41.41273	51.35084
4.92764	50.48680	6.05420	8.15416	6.8625	7.03319	-2.80446	7.74250	1.00000	8.14259	6.86849	66.57363	3.29538	7.87495	1112.43762	7.06764	70.99261	51.47805
9.11488	50.17090	5.17552	9.94612	30.38167	8.31083	18.74848	7.88462	1.00000	6.87218	6.12650	64.26984	12.02768	4.89708	1180.08739	9.05290	63.97909	59.80917
6.19125	43.80181	5.81230	9.44796	14.39024	9.08292	23.73088	9.61288	0.00000	8.09144	5.31155	81.31898	2.56482	5.71364	1129.45250	7.07026	58.43768	42.22718
5.19445	39.44458	6.85869	7.82132	-60.94228	8.13058	15.45010	7.10851	1.00000	7.17137	6.04303	53.75327	1.64775	7.71934	1088.21591	6.83544	43.25071	14.67751
8.72777	55.07052	7.08159	8.70673	2.44892	6.49903	15.26769	4.65665	1.00000	7.24716	9.03496	69.47155	3.59693	8.27247	1062.09347	6.69603	55.18915	48.98693
7.71629	46.93480	4.92049	10.71649	-84.23381	7.56069	25.88151	10.35676	1.00000	7.78163	4.37409	51.90991	2.95410	4.83587	1185.34271	7.06153	52.99854	33.54428
5.34539	68.54094	7.59107	7.21711	-120.45794	7.68892	11.51044	7.83077	0.00000	7.50139	5.77154	76.56896	2.81206	5.73606	1178.56785	7.25416	46.52683	34.63915
5.06018	45.91332	8.83126	5.55110	117.27583	8.10587	27.44747	5.49397	0.00000	7.10948	6.29370	69.66914	2.63164	5.17093	1113.69015	6.55178	28.04523	35.64889
6.42397	47.29890	6.47163	9.13799	-71.8023	6.97522	14.51074	10.01375	1.00000	7.33658	6.50584	57.43999	7.40379	5.93469	1096.14748	8.52786	53.49036	42.58342
8.38592	64.68435	5.58949	9.59441	141.95	9.11405	11.31660	9.15294	1.00000	7.80080	5.81693	68.70328	2.40329	7.80769	1103.68410	7.23853	44.54986	39.46667
6.18030	54.65835	7.99271	4.74182	120.89694	8.45982	6.21927	3.89276	0.00000	9.05469	6.16791	68.28458	4.51384	7.57550	1061.93990	7.60229	74.77648	14.95472
5.69668	41.75183	6.66976	8.82271	-122.2054	6.38871	10.55603	10.41230	1.00000	7.48613	6.43145	68.56831	1.07333	5.89294	1065.78845	4.92658	33.66284	47.76232
6.58702	38.79079	7.05922	8.07662	-1.86343	9.10742	15.59707	6.20735	1.00000	6.81998	4.92835	72.85984	2.61164	5.06757	1151.87061	6.69664	77.51548	38.10558
5.41668	51.40565	6.69718	8.07041	5.37429	9.42339	8.73082	8.19589	1.00000	7.10043	6.91474	75.45608	2.39436	7.76582	1119.94475	6.57443	29.70270	51.03427
8.40155	41.07936	7.26098	5.27762	31.4976	7.11117	15.60054	4.83319	0.00000	7.47751	7.76454	69.30487	3.95185	6.50116	1134.27082	7.25801	61.13956	26.67319
6.04786	55.41041	9.61612	7.84914	-122.38731	7.26281	4.95958	8.85545	0.00000	6.36112	5.20564	81.13002	2.34662	5.26777	1141.84587	5.88640	82.28144	45.53929
6.62367	60.41942	9.95845	4.82347	12.16179	8.53827	27.68142	7.48824	1.00000	7.22205	10.22751	50.54547	4.03346	7.61752	1118.56080	7.83494	40.19508	48.52961
11.70330	75.86603	6.61461	7.39672	-73.9625	8.64537	15.36818	6.39640	1.00000	7.35570	7.62152	64.80502	14.53845	7.74960	1105.11441	9.19288	51.05759	40.81
5.92933	37.36702	4.99718	9.57151	-62.64102	6.44650	5.26347	10.11144	1.00000	7.92163	6.73056	60.39122	2.18351	4.05852	1148.51474	6.18522	67.87196	8.35122
9.11930	47.96967	10.24522	6.94239	85.94001	7.75452	-2.65307	5.61356	1.00000	8.03358	7.28883	72.61631	8.34329	6.86254	1112.36908	8.51997	46.75267	25.49043
5.53391	52.77380	9.87218	5.20662	99.95469	8.36630	25.95129	4.89093	0.00000	8.54351	6.29303	59.49153	6.12410	8.13157	1143.96096	8.14891	58.85368	13.51825
5.77580	67.67187	6.61564	8.18457	-2.12139	6.30016	14.18456	9.02964	1.00000	7.60475	6.80045	59.76092	15.42740	7.11906	1153.34074	9.31066	44.76864	52.48173
5.08649	77.09436	6.49097	8.83357	29.65806	7.24666	9.54106	9.18685	1.00000	8.65836	6.30703	83.27613	3.38028	7.18410	1102.57142	6.49625	54.91206	-4.83
8.93590	42.08816	9.46358	6.10481	114.51667	8.39832	10.91773	6.62482	1.00000	8.11008	9.27519	67.83900	2.53312	6.90118	1090.20598	6.71494	38.92520	33.78333
8.12560	50.57940	7.48021	5.94676	46.04833	7.52904	31.48659	8.04583	1.00000	7.42499	10.19641	63.43158	3.02250	6.67359	1141.05512	6.95270	58.30099	51.40944
4.96691	40.69234	7.45066	7.62857	1.04945	5.92776	25.12090	6.62703	1.00000	7.26037	5.75401	63.38110	6.40500	7.35208	1069.37238	8.22757	67.47461	35.06544
7.06559	44.42410	5.61626	8.82908	77.5609	7.00841	29.66901	7.71622	1.00000	6.47512	6.20160	78.91665	3.33873	5.07780	1185.89898	7.09143	45.03997	11.00599
7.05544	33.94826	10.32488	6.91002	-13.68778	6.32447	-0.98281	6.70556	0.00000	6.61360	8.91066	67.06574	4.48527	3.13354	1083.92013	7.60684	51.45510	9.535
5.05856	59.37339	9.35782	7.73882	5.74861	6.94478	16.22441	6.82175	1.00000	8.41593	7.32439	79.36042	2.46850	5.81503	1089.75284	7.12648	57.65996	52.71083
5.64416	53.60870	6.05909	8.45857	1.15597	7.03401	28.93549	8.71801	1.00000	7.36511	7.47805	75.89623	6.00946	7.05327	1125.78042	8.36189	56.42229	51.78967
4.42850	66.66237	6.38798	8.03216	25.8191	8.25857	18.73779	9.03958	1.00000	5.68529	7.26240	72.22855	4.14106	6.62404	1101.06480	7.82158	60.22069	53.5942
11.14746	45.24699	9.58035	6.01879	-35.03333	8.48153	12.27937	5.90919	1.00000	5.55822	6.48804	64.44874	1.97368	8.62656	1076.34030	7.06314	70.85634	-8.28333
4.36453	26.54044	7.72153	7.51927	46.83187	7.42350	21.25156	8.47974	1.00000	9.11123	5.17391	75.51095	4.21401	5.96098	1109.52467	7.74849	70.87602	14.53767
5.83415	36.57406	8.90524	9.22194	-71.29144	7.24545	17.45861	7.65414	0.00000	7.89722	6.65595	60.30995	1.68759	5.62847	1068.80063	6.89175	38.56449	41.54566
8.38647	45.28309	9.59490	6.61191	4.21372	7.21696	16.70943	6.32809	1.00000	7.46560	9.18933	66.41696	5.30627	6.46306	1176.48431	7.78500	76.30540	51.12794
7.67040	55.12374	5.14363	9.57816	145.13643	8.07878	16.58190	10.48852	1.00000	7.73481	7.49613	60.03452	4.38752	9.02575	1138.67815	7.52023	62.06950	-38.16604
9.32509	59.47447	8.61763	4.90696	-97.35992	6.35617	10.91124	6.48145	1.00000	6.55203	10.60698	78.34255	2.19154	10.03465	1168.44705	6.48021	34.54092	19.8173
3.65083	62.36809	8.12298	6.63961	4.25633	6.71592	32.07439	7.00810	1.00000	8.23507	6.28241	72.32468	3.32932	6.44185	1154.42805	7.57032	73.71693	51.21187
6.41736	61.54044	8.66978	8.49945	3.87723	7.87445	13.15661	8.92752	0.00000	8.06673	9.77165	68.41628	4.00062	5.59971	1164.75522	7.38753	61.77540	43.61092
9.15181	38.74762	8.10724	7.13034	4.47124	10.74393	14.84998	4.94880	1.00000	6.89527	9.01693	75.06074	2.93535	9.65438	1066.24846	7.07164	51.76541	51.95838
4.96414	50.32898	4.60346	8.97454	-122.2054	7.26838	10.43543	9.51104	1.00000	7.81720	7.32862	65.02030	0.75791	6.38977	1129.13559	4.28334	51.56307	47.76232
8.86485	25.30826	6.55384	7.83795	109.22921	8.22610	17.08269	4.97114	1.00000	8.27431	9.83778	80.72076	5.35930	9.72665	1090.18404	7.94774	57.38630	34.65918
5.14001	42.48450	7.24571	4.77244	43.83992	8.95189	3.56161	6.49557	0.00000	9.50108	7.12141	69.20616	9.54861	6.98070	1125.45504	8.76879	61.97409	55.39485
6.61201	30.44973	10.62001	7.04683	29.65806	7.64289	17.45389	5.82714	0.00000	7.32482	7.26559	73.68870	11.46040	6.19971	1138.20885	9.01860	57.60158	-4.83
4.46724	60.80706	11.43098	5.98523	-48.62789	8.76175	17.14918	5.33072	0.00000	9.14683	6.45696	69.24399	4.48329	7.56378	1140.12566	7.45005	39.01419	-17.74431
5.57306	53.27266	6.48555	8.09759	-87.66561	8.32947	14.04879	6.51016	1.00000	8.23287	5.59272	64.87215	11.63642	8.08045	1159.30676	9.01481	60.36339	41.8542
7.26585	59.64560	8.60836	5.72854	127.08472	7.97305	16.65840	7.61531	1.00000	8.50427	8.32786	74.09850	2.60803	7.51878	1125.44074	7.13297	38.06383	36.20389
5.27791	50.57240	6.93308	7.51340	-59.13316	5.57697	16.21942	7.97120	0.00000	8.85472	10.04505	70.91416	3.52023	8.19959	1103.77590	6.99858	36.38627	-37.32167
7.19759	62.48962	6.30468	4.62567	-1.4001	8.79056	23.69043	6.10626	0.00000	10.36630	5.09939	52.99926	2.61743	4.83832	1126.57304	5.79577	56.82998	7.06273
6.08648	42.00377	9.27932	6.65706	-93.71133	8.03294	2.77452	6.64308	0.00000	6.06248	7.64241	76.75359	5.32792	5.42932	1075.47822	7.91268	54.25004	41.57721
6.44326	46.29436	8.82040	7.16167	-6.03731	6.41360	10.85552	8.60591	0.00000	7.58352	5.66708	69.73875	9.87773	4.99328	1148.31222	8.87476	54.43391	37.35813
4.59086	61.08344	9.42907	6.70843	38.2739	7.15608	12.44324	7.77821	0.00000	5.98859	4.48508	63.92743	3.37320	5.33011	1082.72638	7.12360	69.22401	46.7055
6.19764	19.67079	6.51257	8.24464	-3.53261	8.56965	20.40074	8.79270	1.00000	8.26388	7.24165	75.49214	1.82620	5.14890	1085.44331	6.17635	63.77646	40.42386
8.14464	45.43060	5.81600	9.69098	-75.60804	7.37629	2.37598	9.53091	1.00000	9.10539	5.83059	69.40881	3.95025	6.07318	1051.82167	7.47659	47.29789	39.96097
6.35148	56.04295	5.51599	9.39327	19.21437	8.13648	23.71630	9.85233	1.00000	7.58366	5.63410	75.03041	3.50170	5.24503	1164.87541	6.97554	62.56205	44.75874
7.15764	60.69012	7.13911	5.17254	38.07083	5.85306	8.47102	5.91773	0.00000	7.67754	5.74088	59.67709	7.36833	5.88888	1107.88044	8.40777	42.32028	54.90083
7.69999	49.88265	6.11849	8.32002	-156.47432	8.70735	-9.52595	7.73344	1.00000	6.50062	7.47850	79.97119	2.92105	9.77195	1125.33495	7.07021	34.41557	20.88953
6.14412	52.14175	6.66177	9.12288	-6.03731	7.66346	14.58040	10.07950	1.00000	5.26608	5.60912	65.55679	4.27711	6.77843	1104.56538	7.66246	52.18555	37.35813
5.71950	53.75331	6.38631	8.59541	151.08057	6.37812	35.51025	7.13932	0.00000	6.74800	5.43408	73.12760	2.52591	4.70117	1110.40768	5.22637	42.35524	-33.79176
5.18218	84.98658	6.77412	8.49834	9.32241	6.72604	-1.73009	8.49039	1.00000	7.71289	5.24287	77.96321	2.98345	6.99697	1112.81717	7.04595	54.83279	44.31771
3.53221	30.24477	6.11634	8.98735	10.03478	6.37919	4.42656	8.92227	1.00000	8.39265	4.54187	52.21414	6.13320	5.14722	1073.23595	8.15551	57.41519	37.16911
7.42258	37.24465	8.13488	8.63843	88.28637	6.49858	13.57717	3.53884	1.00000	7.87278	9.62911	74.65460	3.86118	9.50632	1177.30529	7.87182	50.87943	23.07492
6.88355	45.14426	10.50139	3.83552	77.54372	8.80051	23.56488	5.99978	0.00000	7.28504	4.07997	64.12921	7.56681	5.99803	1092.41522	8.16160	58.89424	10.12268
7.80425	37.79360	9.31262	4.26133	112.19028	8.14348	16.23074	6.02161	0.00000	8.16094	5.20605	42.28724	5.68912	5.06232	1166.46018	7.91069	35.59839	30.35028
7.39972	64.29277	9.51911	8.20413	-2.58736	7.91283	7.37761	7.91345	0.00000	7.59808	10.31212	65.41757	3.88125	6.55267	1155.18981	7.75320	47.34828	56.56317
6.74520	64.48016	8.78218	7.25683	-156.47432	8.91165	30.07439	6.88240	0.00000		6.72813	72.79303	1.62566	4.91630	1057.65985	6.38450	42.86976	20.88953
6.55367	52.40273	9.01000	6.23817	38.01667	7.29679	13.19259	6.57608	0.00000	7.04581	8.28986	80.56544	3.20011	7.22276	1169.05125	7.55404	36.27060	-5.41667
8.20771	55.94112	10.82869	8.61657	-72.27814	7.76034	12.69344	7.84131	0.00000	8.10256	10.13582	54.68405	3.12354	5.87044	1092.64398	6.97565	56.99369	42.93369
6.05976	57.35082	6.56606	8.08079	105.75635	7.83818	12.98644	9.70270	1.00000	8.10169	8.05154	75.31984	4.03871	6.47763	1066.42639	7.73937	50.93548	10.29085
5.92997	56.76573	9.19367	4.07294	-75.87877	6.52986	14.63797	3.60698	0.00000	5.82730	7.36159	74.45304	3.34746	5.92392	1089.45139	6.78216	29.91641	5.6561
9.18279	43.05827	8.87442	4.99687	44.7662	6.37669	-0.96190	7.02340	1.00000	8.43496	8.66642	53.73270	5.29838	9.24883	1070.25550	7.95127	66.85828	40.49748
3.69240	46.54906	5.73417	8.68943	4.52514	6.06203	24.13210	6.94042	1.00000	7.86265	4.44372	58.01872	6.77077	4.09812	1157.82992	7.99187	55.50235	12.74482
4.59900	48.17088	9.50104	6.49702	-82.32483	7.40841	26.03530	7.02021	0.00000	8.44505	4.80936	66.45607	16.77569	5.89756	1196.67484	9.45432	43.82151	29.65163
6.05520	49.60134	6.85528	8.22600	85.94001	7.29369	10.12277	6.89317	1.00000	9.03663	5.90287	57.10031	2.84232	7.32341	1152.86275	6.61640	53.32303	25.49043
3.98605	58.53675	7.50882	7.28277	11.04979	8.26458	20.63744	7.46672	1.00000	7.53465	6.61408	66.53268	2.52540	7.99730	1084.60008	7.19526	43.06477	44.59445
8.83338	46.01891	9.25259	4.29046	38.12408	6.67364	3.78488	7.35385	1.00000	5.36645	8.18533	64.87048	1.40042	9.86645	1092.13227	5.99620	43.38990	53.77166
5.86582	59.35138	5.68104	9.61218	-74.96933	7.79789	14.96200	11.71683	1.00000	7.35401	5.72070	80.90045	2.06313	4.49647	1055.02654	5.70475	44.26855	39.71734
5.12995	55.06938	10.66848	4.78124	117.4831	7.55995	31.29401	5.38890	0.00000	7.61652	5.38722	84.17447	2.39645	6.58404	1089.74838	7.01067	42.64362	27.34089
7.51380	45.95687	7.64611	5.20472	73.85535	5.49822	24.49133	5.39076	0.00000	7.24998	6.65111	60.64423	9.63817	5.97629	1154.58691	8.78518	46.35210	18.51957
4.21597	37.06163	5.83456	8.85234	-71.19901	7.54575	4.43650	9.96642	1.00000	6.81414	6.22208	73.36429	5.92480	5.02125	1088.56045	8.20525	66.77280	-30.60106
7.96585	40.98289	5.81339	8.85192	-117.70755	5.47495	27.76544	6.98945	0.00000	6.80500	7.42717	68.31585	5.15398	6.87180	1176.42359	7.93280	34.58066	33.52253
6.38373	45.86769	12.57754	6.33713	-71.19901	8.07940	12.52872	9.18036	0.00000	8.06014	5.01531	58.43644	1.54504	5.54061	1194.03140	6.13331	42.33103	-30.60106
10.29948	45.27485	8.87160	3.57211	1.00288	6.74511	10.92833	8.01574	1.00000	7.14136	8.94082	80.23446	5.31104	9.82595	1185.67801	8.14827	51.90833	49.28669
6.24677	53.51403	11.58845	7.36710	4.25633	8.95060	-0.85874	4.28404	0.00000	6.77357	7.56613	77.39473	4.38210	3.79267	1067.20237	7.89814	42.47358	51.21187
5.62413	55.28273	6.97430	4.64642	0.30367	6.55040	1.47608	3.66541	0.00000	8.73185	6.67798	66.11598	3.67802	7.83317	1155.33015	7.59896	75.70452	51.38673
5.65218	70.69293	11.91225	5.92090	-87.45476	8.24876	21.11852	9.20380	0.00000	5.84849	2.77548	61.96112	3.35956	4.57810	1139.60970	7.25920	46.07514	41.47892
9.75817	35.79527	10.21599	3.88009	98.6738	7.04029	9.28636	7.24602	1.00000	6.99644	8.74453	80.06897	3.28798	9.39016	1091.82812	6.48175	42.53818	3.7278
6.60829	44.14451	9.51266	5.37439	73.66633	8.95015	20.18966	4.64225	0.00000	6.13666	7.30109	66.79345	3.05383	7.08136	1073.00235	6.51601	32.29955	25.92493
5.01588	25.66086	6.21505	7.96867	99.89166	9.75974	6.76208	7.84697	1.00000	8.67804	7.69884	65.54481	3.00721	6.58700	1098.12715	6.23011	77.51919	15.46063
5.24983	53.97436	7.64455	5.52637	-90.10674	6.51223	21.07707	5.06404	0.00000	7.75615	9.07651	70.98704	2.33799	7.46811	1051.59255	6.53357	55.40916	29.84576
9.29750	32.18548	8.88688	8.09049	-1.32471	7.89732	34.10754	3.91279	1.00000	7.83715	7.05688	81.41405	6.58709	9.41240	1195.60745	8.38011	44.62204	51.40148
4.39835	57.76363	6.59867	8.54035	2.18247	7.65435	7.14458	5.08146	1.00000	6.71147	12.70502	80.96442	2.15364	8.28473	1074.03738	6.72917	23.32861	41.41204
4.59889	43.65967	7.31133	7.69629	125.51176	7.25964	0.51005	6.18611	1.00000	7.11927	5.59298	67.79560	3.29824	6.32041	1140.57156	6.97222	40.07366	42.64031
4.72859	44.83551	6.46724	4.14040	26.97253	8.65088	8.64071	4.95999	0.00000	5.97011	9.00680	79.60503	11.08923	7.50753	1197.74060	9.01455	37.32292	49.65186
8.17734	41.46989	7.43499	8.64377	151.07986	8.30969	34.25077	8.11664	1.00000	8.68587	5.80343	68.66178	47.87283	5.27027	1103.86353	10.55463	66.65254	-33.88096
5.43565	62.52473	4.83021	8.63358	139.07204	7.30478	-5.84024	8.57716	1.00000	5.01609	7.35107	60.37698	2.32587	5.53658	1159.99884	6.48713	42.58879	36.24624
4.90837	39.60809	5.40303	9.68337	8.63333	7.99859	-10.75500	9.05832	1.00000	7.73961	5.30148	72.73261	3.79212	6.55361	1057.53380	7.36366	71.61909	52.2
4.77449	58.70181	13.52326	6.33510	10.78222	7.86611	14.56026	9.06411	0.00000	7.15595	3.93513	64.28145	1.73448	6.08084	1192.16204	6.22650	42.46287	36.46917
8.65024	48.90490	9.29163	5.51980	38.07083	8.52864	24.28164	7.39527	1.00000	7.37679	8.06038	66.02873	2.78825	7.29992	1051.78648	7.63577	25.01246	54.90083
5.06271	52.90014	12.00849	5.95783	-76.78319		6.68347	5.33182	0.00000	8.20064	7.05762	59.33219	5.48518	7.11160	1147.64753	7.85730	61.20796	18.00747
6.66809	36.16384	6.99443	8.86578	-95.63079	7.00675	13.73070	9.25857	1.00000	7.07174	5.76629	66.06035	2.02302	6.11734	1183.75837	6.83366	60.82642	31.76212
7.46567	50.14253	6.88802	8.84218	70.96699	5.73241	12.33038	9.80441	1.00000	7.45856	6.36838	77.13776	2.98836	6.56873	1150.44884	6.15161	32.55497	30.46907
4.85404	27.51278	5.32522	9.51756	8.63333	6.68840	19.70715	10.63903	1.00000	7.55624	5.80692	79.17849	5.03032	5.50546	1107.98302	7.73333	70.15176	52.2
